gene,celltype,n,mean_expr,pct_expr,p,padj
FDPS,Monocyte,13459,0.6505765140462669,33.47202615350323,0.0,0.0
FDPS,Other,25503,0.1465174801240541,5.367995922048387,0.0,0.0
DHCR24,CD8_T,15713,0.3643619804748219,26.3412461019538,0.0,0.0
DHCR24,Other,25503,0.1540081525144024,5.744422224836294,0.0,0.0
HSD17B7,Other,25503,0.106888542668637,3.936791749990197,0.0,0.0
HMGCS2,Other,25503,0.0906582287405484,3.540759910598753,0.0,0.0
NSDHL,Treg,3976,0.1601086278415652,14.31086519114688,8.457815117987481e-291,9.250735285298806e-291
HSD17B7,CD8_T,15713,0.3200951421846481,22.980971170368488,5.098827152640151e-289,5.665363502933501e-289
VLDLR,Treg,3976,0.1436077797223425,13.531187122736418,4.6672430304509487e-256,5.2694679376059103e-256
HSD17B7,Monocyte,13459,0.3586960313045315,21.977858681922875,1.1677111956835915e-211,1.3399964540631382e-211
VLDLR,CD8_T,15713,0.0704999375524331,7.528797810729968,6.437537024150046e-187,7.510459861508389e-187
NSDHL,CD8_T,15713,0.0727914820582031,7.592439381403933,2.4962621117206195e-184,2.9616669122109046e-184
NSDHL,Other,25503,0.0272765773994781,1.1802533035329177,5.769488149299417e-153,6.963175352602744e-153
DHCR24,Treg,3976,0.4590247987571937,29.92957746478873,1.9558122423561795e-141,2.4018746835953082e-141
VLDLR,Other,25503,0.0294688713075985,1.2508332353056504,1.2295289770998145e-139,1.5369112213747679e-139
PRKAA1,CD8_T,15713,0.058016218658728,6.555081779418316,4.3297344460614416e-119,5.510571113169108e-119
PRKAA1,Other,25503,0.0324873765302426,1.3723875622475787,3.423940570827909e-115,4.438441480702845e-115
DHCR7,T_cell,3842,0.0531877510578021,4.13846954711088,7.673048542539006e-94,1.0134215056183594e-93
HMGCS2,CD8_T,15713,0.1416067173075787,13.663845223700122,5.667284158136439e-88,7.629036366722129e-88
FDPS,CD8_T,15713,0.2937368931455252,23.152803411188188,1.8189301938671578e-76,2.496570854327472e-76
G6PD,CD8_T,15713,0.0243533390895051,3.0420670782154904,8.453407235361899e-75,1.1834770129506656e-74
DHCR24,Epithelial_tumor,5903,0.1224671362087344,8.131458580382857,1.1958216889418084e-60,1.7083166984882978e-60
HMGCS2,Monocyte,13459,0.1743455600781483,13.032171780964411,3.683345475992149e-60,5.371545485821884e-60
HSD17B7,Epithelial_tumor,5903,0.1083102913984182,6.928680332034559,2.591077120582358e-56,3.859051030654576e-56
