gene,kruskal_H,kruskal_p,Basal,HER2,LumA,LumB,Normal,n_Basal,n_HER2,n_LumA,n_LumB,n_Normal
ABCG1,166.5498046875,5.752646651846092e-35,4.598973751068115,5.55845832824707,5.910126209259033,5.903930187225342,5.372961044311523,127,63,381,175,19
DHCR24,103.108154296875,2.1426694070992274e-21,8.240644454956055,9.623173713684082,9.49146556854248,9.482186317443848,8.694767951965332,127,63,381,175,19
DHCR7,162.812744140625,3.6443713605299143e-34,7.042822360992432,6.8044633865356445,5.884851455688477,6.505936622619629,6.535556793212891,127,63,381,175,19
FDXR,96.74609375,4.8455445414486486e-20,3.219449996948242,3.4766147136688232,3.9247052669525146,4.141685962677002,3.3787994384765625,127,63,381,175,19
G6PD,115.47021484375,4.952895931157689e-24,5.80696964263916,7.220508575439453,5.743974208831787,6.051033020019531,5.818015098571777,127,63,381,175,19
HMGCS2,190.4442596435547,4.254314111720858e-40,0.4733875095844269,3.504178285598755,3.466580390930176,2.6169111728668213,4.577045440673828,127,63,381,175,19
HSD17B7,77.169677734375,6.923827834753535e-16,3.5487844944000244,3.66401743888855,4.060939788818359,4.034356117248535,3.393937826156616,127,63,381,175,19
LIMA1,245.614013671875,0.0,5.915019512176514,7.227595329284668,7.398411273956299,7.171746730804443,7.1558990478515625,127,63,381,175,19
NSDHL,59.849853515625,3.119450661323575e-12,5.082929611206055,5.209272861480713,4.816523551940918,4.965976715087891,4.833570957183838,127,63,381,175,19
PRKAA1,80.083984375,1.6719072479106322e-16,6.040167331695557,6.317251682281494,5.831661701202393,5.468051910400391,6.3155951499938965,127,63,381,175,19
VLDLR,175.357421875,7.403533313805073e-37,4.581362247467041,4.211577892303467,3.435199499130249,3.030733108520508,3.8420021533966064,127,63,381,175,19
FDPS,128.018310546875,1.0331219778357784e-26,5.596591472625732,5.592800617218018,5.004761219024658,5.282819747924805,4.8564534187316895,127,63,381,175,19
