gene,normal_mean,tumor_mean,log2FC_tumor_vs_normal,paired_wilcoxon_P,direction
ABCG1,903.4506744186049,1033.6881162790696,0.1942832205618912,0.014924559444807528,up in tumour
DHCR24,1118.0747674418603,1681.888023255814,0.5890649903131041,0.000653586169164555,up in tumour
DHCR7,271.7461534883721,481.2675209302326,0.8245794497797314,0.002772815530306616,up in tumour
FDXR,293.37051627906976,257.4453534883721,-0.18845765568591472,0.2829387956323899,down in tumour
G6PD,91.11250697674419,81.89332325581395,-0.1539032717224748,0.1245190121021551,down in tumour
HMGCS2,253.01897674418606,451.29288372093026,0.8348184364425874,0.13063861592263493,up in tumour
HSD17B7,494.8328139534884,636.874023255814,0.36406685545643247,0.0011727147150395467,up in tumour
LIMA1,4313.2306976744185,3707.6179069767445,-0.21827630924452812,0.002432848191347148,down in tumour
NSDHL,650.8967441860465,570.2139302325581,-0.19092541331220866,0.02176070076347969,down in tumour
PRKAA1,298.71293023255816,209.4518046511628,-0.5121413735788093,0.025656865341261437,down in tumour
VLDLR,2062.2416279069766,1438.5574186046508,-0.5195905737482678,3.969239514844958e-08,down in tumour
FDPS,297.3940860465116,566.5285651162792,0.9297727420987303,0.00014568698702532856,up in tumour
