feature,n_responder,n_nonresponder,mean_responder,mean_nonresponder,mannwhitney_P,direction
ABCG1,10,23,10.012816441271795,9.710026181316953,0.6523572140284002,up in responders
DHCR24,10,23,11.593743197605221,11.311189924824653,0.9219858186308934,up in responders
DHCR7,10,23,9.230303504448717,8.893112492279343,0.35727686301787775,up in responders
FDXR,10,23,8.587552368777652,8.649984921970837,0.7097857460625617,down in responders
G6PD,10,23,10.46530200012205,10.325658628504355,0.4219474160690819,up in responders
HMGCS2,10,23,2.0145753979432377,2.3648966786745063,0.3996646514525739,down in responders
HSD17B7,10,23,8.34628589609124,8.165244455274554,0.7097857460625617,up in responders
LIMA1,10,23,12.55927915695341,12.434802094485192,0.7391563117815021,up in responders
NSDHL,10,23,9.690184031045574,9.618707955654253,0.5969192192431503,up in responders
PRKAA1,10,23,11.90408138040615,11.740264284793579,0.49301070128782254,up in responders
VLDLR,10,23,10.238389308314824,10.958983644089319,0.35727686301787775,down in responders
FDPS,10,23,11.68990760986846,11.500823675494827,0.3781049611004279,up in responders
GZMA,10,23,8.592135169385111,7.8369905368956205,0.1765449914504772,up in responders
PRF1,10,23,8.325122690860479,7.387070408915346,0.13151308625853653,up in responders
CD8A,10,23,9.634754160316401,8.508888820429553,0.09594187011982788,up in responders
CD274,10,23,9.662051157738672,9.478360845556749,0.5180494011092558,up in responders
IFNG,10,23,5.463388805558621,4.419727556526769,0.15276987508203363,up in responders
CYT,10,23,8.458628930122796,7.6120304729054835,0.16433376314046644,up in responders
