gene,n_tumor,n_normal,n_tumor_measured,n_normal_measured,mean_log2tpm_tumor,mean_log2tpm_normal,mean_diff_tumor_minus_normal,mannwhitney_P,direction
ABCG1,1092,179,1091,179,2.358920726458064,2.2710956193886678,0.08782510706939606,1.7958111270509407e-09,up in tumour
DHCR24,1092,179,1092,179,3.071910362052908,2.674673575243898,0.39723678680900987,2.4338133532608672e-64,up in tumour
DHCR7,1092,179,1092,179,2.6336226740168907,2.2390838348494664,0.39453883916742427,1.0164544659250498e-61,up in tumour
FDPS,1092,179,1092,179,3.039710650455166,2.954138813148487,0.08557183730667894,1.8709961720910747e-31,up in tumour
FDXR,1092,179,879,178,0.07469587895160723,1.4717556893519577,-1.3970598104003504,8.351506023821293e-69,down in tumour
G6PD,1092,179,1092,179,2.6788183869829556,2.585623399035243,0.09319498794771253,4.386669051296183e-15,up in tumour
HMGCS2,1092,179,723,115,1.6451995592644624,1.5215294395994168,0.1236701196650456,0.09401751566054373,up in tumour
LIMA1,1092,179,1092,179,2.6989774482429745,2.9164383407178502,-0.21746089247487577,8.074003933968789e-44,down in tumour
NSDHL,1092,179,1092,179,2.4620174765765146,2.310956150193222,0.15106132638329273,4.142078698869486e-26,up in tumour
PRKAA1,1092,179,1092,179,2.276832020664895,2.6059536462878157,-0.3291216256229208,4.847231706890529e-51,down in tumour
VLDLR,1092,179,1084,179,1.6161100637050707,1.9912460673480656,-0.37513600364299493,3.451532263183789e-14,down in tumour
