feature,n,unadjusted_P,median_C1,median_C2,median_C3,median_C4,adjusted_n_ER_stage_ESTIMATE,adjusted_P_ER_stage_ESTIMATE,adjusted_n_PAM50_stage_ESTIMATE,adjusted_P_PAM50_stage_ESTIMATE,unadjusted_FDR,adjusted_FDR_ER_stage_ESTIMATE,adjusted_FDR_PAM50_stage_ESTIMATE
TIDE,952,8.889646661595211e-18,-1.4917083011957835,-1.2496703272794543,-1.2331661678038133,-1.2771356281830668,899,1.5346864589774463e-20,755,1.6527296643329492e-07,2.2224116653988028e-17,5.1156215299248207e-20,5.509098881109831e-07
IFNG,952,1.4238378260469765e-10,5.554775809248288,4.836107409869631,4.668003927916288,5.364057165570557,899,2.6478401545175575e-09,755,0.018628677371271586,2.3730630434116275e-10,5.295680309035115e-09,0.02661239624467369
Dysfunction,952,7.766342869461406e-18,-1.4917083011957835,-1.2496703272794543,-1.2331661678038133,-1.2833919341718711,899,5.177005688759573e-26,755,1.1677082572017938e-13,2.2224116653988028e-17,2.5885028443797863e-25,1.1677082572017938e-12
Exclusion,952,0.1664432021149406,1.8978623585373504,1.9328477535455253,1.880699582685196,1.8744324001622683,899,0.01334223226148083,755,0.07288579576051131,0.1664432021149406,0.014824702512756478,0.08098421751167922
MDSC,952,1.6488252995957185e-44,0.12157817358447205,0.08355660951222554,0.0979506648859417,0.09769640318324574,899,2.6953381160944952e-33,755,1.0809779172508263e-07,1.6488252995957186e-43,2.695338116094495e-32,5.404889586254132e-07
CAF,952,3.1813870739673643e-25,0.17029126926188595,0.20812742046476235,0.17879809631628346,0.18822054363061455,899,2.882638550208799e-13,755,0.0006478533128831313,1.5906935369836822e-24,7.206596375521998e-13,0.0016196332822078282
TAM M2,952,1.6176429534753162e-16,-0.0254870174874919,-0.01461738764403535,-0.012342546625390149,-0.0199044287015481,899,2.0315273655037483e-08,755,0.0955489293861917,3.2352859069506323e-16,3.3858789425062475e-08,0.0955489293861917
CD274,952,5.663239326358574e-10,2.461747646331787,2.3153679370880127,1.909464716911316,2.429236650466919,899,0.2586444223478035,755,0.03720556007202974,8.090341894797963e-10,0.2586444223478035,0.04650695009003718
CD8,952,0.002635057143838513,2.771040916442871,2.5379066467285156,2.0856736600399017,2.307313859462738,899,9.637561011601757e-06,755,0.011168858866176527,0.002927841270931681,1.2046951264502197e-05,0.018614764776960877
CTL,952,2.983840672430986e-05,2.56701945,2.1499778999999997,1.8400471,2.20520805,899,1.0387317688108249e-07,755,0.003553334544426854,3.729800840538732e-05,1.483902526872607e-07,0.007106669088853708
