gene,mean_permutation_importance_delta_auc,importance_sd_across_folds,median_rank,top10_frequency,top20_frequency,top30_frequency,prespecified_hub
LBR,0.005041240477006155,0.0039443890073367965,2.0,0.7333333333333333,0.8,0.8,False
ABCG1,0.004540906050669669,0.004400399803087326,3.0,0.7333333333333333,0.8666666666666667,0.8666666666666667,True
VLDLR,0.004022170019086783,0.0028732417896604042,3.0,0.8666666666666667,0.9333333333333333,0.9333333333333333,True
G6PD,0.0017079560841123252,0.0014267988200799922,9.0,0.5333333333333333,0.8,0.8,True
PRKAA1,0.001690990065090796,0.0014956798233678166,9.0,0.5333333333333333,0.7333333333333333,0.7333333333333333,True
LIMA1,0.0011263479012708186,0.003145902907878446,11.0,0.4666666666666667,0.5333333333333333,0.6666666666666666,True
ARV1,0.0010566730289238181,0.0008337863403993264,14.0,0.4,0.5333333333333333,0.8,False
STARD3,0.0010971141454183572,0.0015321675250430044,15.0,0.3333333333333333,0.6,0.7333333333333333,False
HSD17B7,0.0012019935072350352,0.0012667337707026826,16.0,0.4,0.5333333333333333,0.6,True
ERLIN2,0.0005529127718233573,0.0018941862998603813,16.0,0.26666666666666666,0.5333333333333333,0.6,False
CYP7B1,0.0007444330250085683,0.001114980167033199,17.0,0.3333333333333333,0.5333333333333333,0.5333333333333333,False
PCSK9,0.0008713029576339127,0.0010150686790676652,24.0,0.13333333333333333,0.3333333333333333,0.6666666666666666,False
FDPS,0.0003583582113900855,0.0014080526429793374,24.0,0.26666666666666666,0.4666666666666667,0.5333333333333333,False
MVD,0.00040057749718593,0.0007001689030816741,25.0,0.0,0.3333333333333333,0.5333333333333333,False
FDXR,0.0006063557317411512,0.0009278135780264956,26.0,0.13333333333333333,0.3333333333333333,0.6,True
CAT,0.0004546403693371914,0.0007692906673135848,26.0,0.06666666666666667,0.3333333333333333,0.5333333333333333,False
MSMO1,0.0008292468066363264,0.0009042950666307937,26.0,0.3333333333333333,0.4666666666666667,0.6666666666666666,False
FAXDC2,0.00019897551346678658,0.0014402565002526488,27.0,0.26666666666666666,0.4666666666666667,0.5333333333333333,False
ERRFI1,0.0005598296872706025,0.0007910191211805352,29.0,0.06666666666666667,0.2,0.5333333333333333,False
LIPC,0.0005028467022300746,0.0008297820354300289,29.0,0.0,0.4,0.6,False
CYB5R3,0.0007368472568883992,0.0010783368204662247,31.0,0.2,0.3333333333333333,0.4666666666666667,False
APOA2,0.0002910161666585287,0.0007607445022499657,35.0,0.0,0.4,0.4666666666666667,False
NPC1L1,0.0008669309450398988,0.0013286252136237233,36.0,0.4,0.4666666666666667,0.4666666666666667,False
LDLRAP1,0.00034847224261409657,0.0006723063840045436,37.0,0.0,0.13333333333333333,0.3333333333333333,False
OSBPL1A,0.00032284376580369895,0.0006868421399688354,38.0,0.13333333333333333,0.13333333333333333,0.3333333333333333,False
PON1,0.00039052839361165034,0.0004626970949885617,39.0,0.06666666666666667,0.13333333333333333,0.3333333333333333,False
IDI1,0.00026171715688676195,0.0005343764790237056,42.0,0.06666666666666667,0.2,0.3333333333333333,False
TM7SF2,5.5482144896332734e-05,0.0010883892497107791,46.0,0.06666666666666667,0.26666666666666666,0.26666666666666666,False
IL4,0.00021616992120588948,0.0008549677256664895,47.0,0.06666666666666667,0.26666666666666666,0.4666666666666667,False
PRKAA2,0.00020713225338097864,0.0006047983343743252,47.0,0.0,0.26666666666666666,0.4,False
NPC2,0.0005248209595588981,0.0011788645431299188,48.0,0.13333333333333333,0.26666666666666666,0.3333333333333333,False
ABCA5,0.00015476598313185705,0.00043216126080045054,48.0,0.0,0.0,0.06666666666666667,False
NFE2L1,2.7732915708262128e-05,0.0007824024878196187,48.0,0.0,0.2,0.26666666666666666,False
CEL,0.00010049103574284384,0.0005229612758193276,49.0,0.0,0.06666666666666667,0.2,False
CYP2R1,-9.013197605180005e-05,0.0009343138000475413,49.0,0.06666666666666667,0.13333333333333333,0.3333333333333333,False
CH25H,0.0001792362028744347,0.0004944571743905504,50.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,False
PPARD,0.0004457168958710704,0.002266729222175411,50.0,0.4,0.4,0.4666666666666667,False
ACAA2,0.0001302468229497992,0.0005620960630482956,50.0,0.0,0.13333333333333333,0.2,False
HDLBP,0.00015494543140998296,0.0003992956145468328,51.0,0.0,0.06666666666666667,0.06666666666666667,False
HMGCR,6.349206349205883e-05,0.0003903038388717371,52.0,0.0,0.0,0.13333333333333333,False
CYP39A1,-7.732589438651963e-05,0.0019688125171597208,53.0,0.2,0.3333333333333333,0.3333333333333333,False
CYP2C9,0.00016223755689327065,0.0005286105717087691,53.0,0.0,0.06666666666666667,0.2,False
LEP,2.965790632800668e-05,0.000436147251825122,53.0,0.0,0.0,0.13333333333333333,False
LSS,0.00010463465961924565,0.0003495014983306211,54.0,0.0,0.0,0.2,False
APOBR,7.507463417023796e-05,0.0004637174729357505,55.0,0.0,0.06666666666666667,0.26666666666666666,False
CYP27B1,4.114259612718239e-05,0.0005704666232044246,56.0,0.0,0.13333333333333333,0.2,False
CYP11A1,0.00012091551248797571,0.00046773939998433575,56.0,0.0,0.06666666666666667,0.2,False
LCAT,0.00013682115532064407,0.0005577305121097795,57.0,0.0,0.2,0.2,False
CYP27A1,0.00012527121160215885,0.0005429354389221617,57.0,0.0,0.13333333333333333,0.26666666666666666,False
FECH,0.00031385503841823006,0.0005939044386094007,57.0,0.06666666666666667,0.2,0.4,False
CFTR,9.332941809818102e-05,0.00038745165556112326,57.0,0.0,0.06666666666666667,0.06666666666666667,False
APOA1,0.00014998613354215705,0.0007456518128847593,58.0,0.06666666666666667,0.06666666666666667,0.13333333333333333,False
CYP46A1,0.00017297182662035692,0.0004211189522108631,58.0,0.0,0.13333333333333333,0.2,False
ABCA1,4.3442796782979786e-05,0.0004155907777775646,58.0,0.0,0.0,0.06666666666666667,False
APOL2,-8.515636470427547e-06,0.0005988233634281852,59.0,0.0,0.0,0.2,False
CES1,5.2610972446537716e-05,0.00025124689277381093,59.0,0.0,0.0,0.0,False
HMGCS1,0.0001296432241961609,0.00047047663481216377,59.0,0.0,0.06666666666666667,0.2,False
