control,iteration,auc
Locked 11-gene model,0,0.944969003338102
Random 11-gene set,1,0.7812793787042714
Permuted ER labels,1,0.48512160228898427
Random 11-gene set,2,0.8479187955582804
Permuted ER labels,2,0.47238912732474964
Random 11-gene set,3,0.8347026364193747
Permuted ER labels,3,0.4452619388241706
Random 11-gene set,4,0.8867974657674227
Permuted ER labels,4,0.5285169289461135
Random 11-gene set,5,0.8018257374480551
Permuted ER labels,5,0.4942571019824239
Random 11-gene set,6,0.7665304176033791
Permuted ER labels,6,0.5109816745009879
Random 11-gene set,7,0.8629947544110634
Permuted ER labels,7,0.4756795422031474
Random 11-gene set,8,0.87714421963349
Permuted ER labels,8,0.49318073438245114
Random 11-gene set,9,0.8245452687512773
Permuted ER labels,9,0.5079841951086587
Random 11-gene set,10,0.8097077457592479
Permuted ER labels,10,0.46777028407929694
Random 11-gene set,11,0.8815246270181893
Permuted ER labels,11,0.49821513727093125
Random 11-gene set,12,0.881981061380203
Permuted ER labels,12,0.4794059540840656
Random 11-gene set,13,0.8168540091286872
Permuted ER labels,13,0.503508413379658
Random 11-gene set,14,0.8689284011172422
Permuted ER labels,14,0.49010831800531374
Random 11-gene set,15,0.8542748143606513
Permuted ER labels,15,0.4866748416104639
Random 11-gene set,16,0.8390081068192655
Permuted ER labels,16,0.511996730022481
Random 11-gene set,17,0.7894815723141904
Permuted ER labels,17,0.46332856461611827
Random 11-gene set,18,0.8008583690987124
Permuted ER labels,18,0.5091899993187547
Random 11-gene set,19,0.8440561346140746
Permuted ER labels,19,0.5043190953062198
Random 11-gene set,20,0.8377614278901833
Permuted ER labels,20,0.4543361264391307
Random 11-gene set,21,0.8360515021459227
Permuted ER labels,21,0.5083316302200422
Random 11-gene set,22,0.8343688262143198
Permuted ER labels,22,0.5044212821036855
Random 11-gene set,23,0.9007016826759315
Permuted ER labels,23,0.5277403092853736
Random 11-gene set,24,0.8254921997411269
Permuted ER labels,24,0.4600722120035425
Random 11-gene set,25,0.780209823557463
Permuted ER labels,25,0.5034811635670006
Random 11-gene set,26,0.8279242455208122
Permuted ER labels,26,0.5059949587846583
Random 11-gene set,27,0.8713536344437632
Permuted ER labels,27,0.5110157367668098
Random 11-gene set,28,0.8411949042850331
Permuted ER labels,28,0.48796239525853263
Random 11-gene set,29,0.8032904148783977
Permuted ER labels,29,0.43047891545745626
Random 11-gene set,30,0.8721779412766537
Permuted ER labels,30,0.44276858096600585
Random 11-gene set,31,0.8772123441651339
Permuted ER labels,31,0.4591661557326794
Random 11-gene set,32,0.8162000136249064
Permuted ER labels,32,0.492274678111588
Random 11-gene set,33,0.7087063151440834
Permuted ER labels,33,0.5202466108045507
Random 11-gene set,34,0.8796035152258328
Permuted ER labels,34,0.4253900129436611
Random 11-gene set,35,0.804394032291028
Permuted ER labels,35,0.5352544451256898
Random 11-gene set,36,0.8553511819606241
Permuted ER labels,36,0.48101369303086045
Random 11-gene set,37,0.8253559506778392
Permuted ER labels,37,0.4673070372641188
Random 11-gene set,38,0.8572791062061449
Permuted ER labels,38,0.45862115947952853
Random 11-gene set,39,0.8068465154302065
Permuted ER labels,39,0.48868451529395734
Random 11-gene set,40,0.8712037604741468
Permuted ER labels,40,0.48495129095987466
Random 11-gene set,41,0.8773894679474079
Permuted ER labels,41,0.48417467129913483
Random 11-gene set,42,0.8552762449758158
Permuted ER labels,42,0.48617753252946383
Random 11-gene set,43,0.8739151168335717
Permuted ER labels,43,0.459390966687104
Random 11-gene set,44,0.8234689011513048
Permuted ER labels,44,0.509551059336467
Random 11-gene set,45,0.8024661080455071
Permuted ER labels,45,0.4862115947952858
Random 11-gene set,46,0.7705770147830233
Permuted ER labels,46,0.5131139723414402
Random 11-gene set,47,0.8984195108658628
Permuted ER labels,47,0.5040125349138225
Random 11-gene set,48,0.8357721915661831
Permuted ER labels,48,0.45240820219361
Random 11-gene set,49,0.8656992983173242
Permuted ER labels,49,0.48811908168131346
Random 11-gene set,50,0.82994073165747
Permuted ER labels,50,0.5010286804278221
Random 11-gene set,51,0.8144355882553307
Permuted ER labels,51,0.5120171673819742
Random 11-gene set,52,0.8946726616254512
Permuted ER labels,52,0.4631650657401731
Random 11-gene set,53,0.8345868247155801
Permuted ER labels,53,0.5090741876149601
Random 11-gene set,54,0.8625383200490497
Permuted ER labels,54,0.5084542543770012
Random 11-gene set,55,0.7926766128482867
Permuted ER labels,55,0.4886368281218067
Random 11-gene set,56,0.8661829824919953
Permuted ER labels,56,0.5283125553511819
Random 11-gene set,57,0.8570066080795694
Permuted ER labels,57,0.5244226445943183
Random 11-gene set,58,0.8918046188432455
Permuted ER labels,58,0.49342598269636895
Random 11-gene set,59,0.7757953539069418
Permuted ER labels,59,0.4768104094284352
