family,feature,transformation,model,covariates,n,unadjusted_Kruskal_P,global_subtype_F,global_subtype_P,partial_R2_subtype,global_subtype_FDR_all_features,global_subtype_FDR_within_family
ESTIMATE,StromalScore,none,ER,stage + ER,899,4.2213607616451284e-22,32.18206028061357,9.327666946937498e-20,0.09756611941011746,1.5546111578229164e-18,2.7983000840812493e-19
ESTIMATE,StromalScore,none,PAM50,stage + PAM50,755,4.2213607616451284e-22,9.264705449593933,5.07610366800957e-06,0.035919265553388896,8.46017278001595e-05,1.522831100402871e-05
ESTIMATE,ImmuneScore,none,ER,stage + ER,899,0.001859974542947338,1.0775584028464393,0.35769825738226024,0.003606959775023964,0.39744250820251137,0.35769825738226024
ESTIMATE,ImmuneScore,none,PAM50,stage + PAM50,755,0.001859974542947338,1.6708611231167583,0.1718584718551634,0.006674433265634207,0.24551210265023343,0.17185847185516337
ESTIMATE,ESTIMATEScore,none,ER,stage + ER,899,3.5174061656278774e-06,12.055175118564847,9.682008610655818e-08,0.038922586308666574,4.84100430532791e-07,1.4523012915983726e-07
ESTIMATE,ESTIMATEScore,none,PAM50,stage + PAM50,755,3.5174061656278774e-06,4.703611801931089,0.0029210004000204738,0.01856418136476116,0.01495204621763136,0.004381500600030711
Marker score,CD8_T,none,ER,stage + ER + ESTIMATEScore,899,7.778613091624726e-05,11.229057245402295,3.090258598251249e-07,0.036391529195574424,1.2876077492713538e-06,1.390616369213062e-06
Marker score,CD8_T,none,PAM50,stage + PAM50 + ESTIMATEScore,755,7.778613091624726e-05,4.234905936039454,0.005570853168184142,0.016767373238575658,0.020913471376453746,0.021331740803982823
Marker score,CD4_T,none,ER,stage + ER + ESTIMATEScore,899,1.3708162126844778e-05,3.2094092122064217,0.022474872254474365,0.010678711403986458,0.029572200334834688,0.022474872254474365
Marker score,CD4_T,none,PAM50,stage + PAM50 + ESTIMATEScore,755,1.3708162126844778e-05,0.31863455269709556,0.8119134468845477,0.0012814479427049684,0.9021260520939418,0.9134026277451162
Marker score,Treg,none,ER,stage + ER + ESTIMATEScore,899,4.311492240468396e-11,5.982274640485059,0.0004885976713105123,0.019722937043851158,0.0009771953426210246,0.0006281970059706587
Marker score,Treg,none,PAM50,stage + PAM50 + ESTIMATEScore,755,4.311492240468396e-11,0.08006661909863602,0.9708314873839635,0.00032231199731563506,0.9708314873839634,0.9708314873839635
