cell,median_C1,median_C2,median_C3,median_C4,kruskal_P
Mast.cells.resting,0.020569072434809148,0.0945165823621816,0.09947965690126945,0.07937214446046785,6.473034439987581e-48
T.cells.follicular.helper,0.105449216147307,0.0649824112617245,0.06365931495779735,0.0737230253798351,1.3836720950965988e-20
T.cells.CD4.memory.resting,0.1442315505028235,0.176964716483242,0.1592154099563225,0.15702593933008202,1.3432898866256477e-10
Macrophages.M2,0.08766899419900875,0.11135241320773051,0.1184054601618765,0.10777664279260499,2.7057136253046625e-10
Macrophages.M1,0.12344093992496799,0.0957163457033583,0.0990145890347422,0.1134896369397975,4.4687503977758767e-10
T.cells.CD4.memory.activated,0.0,0.0,0.0,0.0,4.549571963195567e-10
Macrophages.M0,0.08982950246147564,0.06421640667898296,0.0741419515811538,0.07940569883703286,1.285457773532436e-09
Dendritic.cells.activated,0.058247729927195596,0.046712160878297646,0.03673588135319365,0.04922559241715745,1.6045224030423981e-09
Monocytes,0.044506522693314704,0.03824794583484285,0.03537410599904235,0.032638360702178404,1.0116363308371473e-06
T.cells.regulatory..Tregs.,0.0,0.0,1.979879702779255e-05,0.0,1.09923608279507e-06
NK.cells.activated,0.055422152256813045,0.04053030933801085,0.05731487551360065,0.05171090602382695,8.65541085826909e-06
B.cells.naive,0.08052091031187669,0.09357133192338696,0.07099403362001211,0.08685317805436955,4.04362877307951e-05
Mast.cells.activated,0.0,0.0,0.0,0.0,7.71505931680616e-05
T.cells.CD8,0.0579838666770416,0.0475049579150326,0.0497189530865607,0.0420393346917484,0.011025774217322693
Eosinophils,0.0,0.0,0.0,0.0,0.01872848547107683
B.cells.memory,0.0,0.0,0.0,0.0,0.021259407582480926
Neutrophils,0.0,0.0,0.0,0.0,0.06283292727389232
T.cells.gamma.delta,0.0,0.0,0.0,0.0,0.1506164233098493
T.cells.CD4.naive,0.0,0.0,0.0,0.0,0.4451828816200498
Plasma.cells,0.0306932506089348,0.0326546461859921,0.02680991076710075,0.03253654280822945,0.568115933796556
Dendritic.cells.resting,0.0,0.00242724144972025,0.00025695758561955,0.0013531887182372999,0.5686332323696106
NK.cells.resting,0.0,0.0,0.0,0.0,0.647793991216276
