"sample_id","B.cells.naive","B.cells.memory","Plasma.cells","T.cells.CD8","T.cells.CD4.naive","T.cells.CD4.memory.resting","T.cells.CD4.memory.activated","T.cells.follicular.helper","T.cells.regulatory..Tregs.","T.cells.gamma.delta","NK.cells.resting","NK.cells.activated","Monocytes","Macrophages.M0","Macrophages.M1","Macrophages.M2","Dendritic.cells.resting","Dendritic.cells.activated","Mast.cells.resting","Mast.cells.activated","Eosinophils","Neutrophils","RMSE"
"TCGA-3C-AAAU-01A",0.103470338242034,0.0636009032685253,0.0699935550478833,0.0781304437057953,0,0.115852126954793,0,0.0148482660907899,0.0150436374797019,0,0,0.023496962082861,0.0294822893448073,0.111629219605664,0.110672811471376,0.199967670243267,0,0,0.0638117764625008,0,0,0,1.85223076419658
"TCGA-3C-AALI-01A",0.0413840980757005,0.0318423771633609,0.0617074763739674,0.109798352388581,0,0.0664247917545999,0.0178662751599513,0.107154904480022,0.0123552879030771,0,0,0.0556011281543536,0.0356841053435666,0.0790365985017485,0.167400743793405,0.0937854337458374,0,0.0482875670763637,0.071670860085465,0,0,0,1.7882618042506
"TCGA-3C-AALJ-01A",0.110889075282573,0,0.05143703855938,0.0838783053648497,0,0.138633617364534,0,0.0919364971216814,0,0,0,0.0554137818408522,0.0420574857660273,0.129957299651799,0.124817693594069,0.0804574347286372,0,0.0406997255477652,0.0498220451778317,0,0,0,1.78488494750417
"TCGA-3C-AALK-01A",0.039021576260169,0.0147633925625591,0.0569942662476125,0.0967028902513688,0,0.180228365170519,0,0.0306749352623851,0,0,0,0.112652873799468,0.0612417561852869,0.0945869129302844,0.0693681726287947,0.0264385694212221,0.0152029271639796,0.0772434607811455,0.124879901335206,0,0,0,1.78864825284083
"TCGA-4H-AAAK-01A",0.0278942325717295,0.0323681345835615,0.0319662754029526,0.0448547390428104,0,0.203280216133471,0,0.0768393548850629,0,0,0.0120825613041025,0.0709605603595275,0.0487174061543326,0.0535122550643369,0.0774397913640386,0.108500435229502,0,0.0588183098096222,0.151867263732942,0,0.000898464362007807,0,1.85407432872939
"TCGA-5L-AAT0-01A",0.116776382966651,0.0111831057397592,0.0162594527220227,0.0972306399533163,0,0.125577629358267,0,0.0756136610962497,0.0324592297213343,0,0,0.0310823637208951,0.0116429513677003,0.0539401365620649,0.147991466600628,0.119933697772311,0.00385112337490838,0.0208650062492015,0.135593152794691,0,0,0,1.83044276378418
"TCGA-5L-AAT1-01A",0.0590030876945706,0.0409697023560387,0.00879278806100727,0.131498511149271,0,0.121465637182087,0.0144211840518287,0.0472546631586359,0.0303159432006359,0,0.00488362305218014,0.0531944487492965,0.0414125643437414,0.0430788703306828,0.13808097565243,0.11015355137034,0.00522551816573364,0.0307066062749325,0.111700017958148,0,0.00784230724843998,0,1.82509963788368
"TCGA-5T-A9QA-01A",0,0.00946853852794658,0.00379995843616616,0.17023592549491,0,0.0718042875529009,0,0.00860271413738178,0.0574452438387674,0,0,0.086968289871833,0.00942184889441688,0.158781585550885,0.0503681702128142,0.290974699305217,0.0188949411442147,0.00330826177237017,0.0599255352601756,0,0,0,1.80430896900704
"TCGA-A1-A0SB-01A",0.094937202329315,0,0,0.229353519001843,0,0.19838618305016,0,0.0670931967732989,0,0,0,0,0.0412326259939257,0.0269497994675616,0,0.11867289022854,0,0.121177506827955,0.102197076327402,0,0,0,1.93510942633469
"TCGA-A1-A0SD-01A",0.0626099975749105,0,0.0191627367116141,0,0,0.205194890053941,0,0.0936018479103636,0,0,0.0405881306552891,0.0419270142481179,0.0280678560478997,0.0449172801708854,0.111520686568711,0.119038891717693,0.0138437947969587,0.0777922888751971,0.141734584668419,0,0,0,1.8830917718132
