gene,selection_frequency
G6PD,1.0
VLDLR,1.0
PRKAA1,0.9966666666666667
IL4,0.9633333333333334
DHCR24,0.96
APOA5,0.94
APOL2,0.9266666666666666
TM7SF2,0.9233333333333333
APOF,0.91
PPARD,0.91
LBR,0.91
ABCG1,0.91
HSD17B7,0.89
APOL1,0.89
CYP11B1,0.8866666666666667
DHCR7,0.88
LEP,0.88
HMGCS2,0.8733333333333333
MARCHF6,0.8633333333333333
PON1,0.8633333333333333
SOAT1,0.8566666666666667
OSBPL1A,0.8533333333333334
NPC2,0.8533333333333334
FDXR,0.8533333333333334
SULT2B1,0.8533333333333334
FDX1,0.85
CYP7B1,0.85
APOA1,0.8433333333333334
APOBR,0.8366666666666667
NSDHL,0.8166666666666667
FECH,0.8066666666666666
NPC1L1,0.8
CYP3A4,0.8
CYP11A1,0.7966666666666666
ABCA1,0.7833333333333333
APOA4,0.7833333333333333
CAT,0.7766666666666666
EBP,0.7433333333333333
LIMA1,0.7366666666666667
FDPS,0.7333333333333333
SMPD1,0.73
HMGCR,0.7033333333333334
CYP46A1,0.6766666666666666
CYP51A1,0.67
ACLY,0.6666666666666666
LDLR,0.6633333333333333
ARV1,0.66
HDLBP,0.6533333333333333
GBA2,0.65
PCSK9,0.65
FDFT1,0.6466666666666666
STARD3,0.6466666666666666
CYP2R1,0.6333333333333333
MBTPS1,0.6333333333333333
PMVK,0.62
LRP5,0.6066666666666667
CLN6,0.5933333333333334
SOAT2,0.59
CYP39A1,0.5833333333333334
SULT1C3,0.57
FAXDC2,0.57
CEL,0.5666666666666667
ANGPTL3,0.56
CYP7A1,0.5566666666666666
LIPC,0.5533333333333333
CYP27B1,0.5433333333333333
PRKAA2,0.5266666666666666
SCAP,0.51
CFTR,0.5066666666666667
CYP27A1,0.5066666666666667
IDI2,0.5033333333333333
ERRFI1,0.49666666666666665
CES1,0.49333333333333335
DISP3,0.49
CYP1A2,0.49
SREBF1,0.4866666666666667
ERLIN1,0.4766666666666667
LSS,0.4766666666666667
NFE2L1,0.47333333333333333
PLPP6,0.47333333333333333
CYP2D6,0.45666666666666667
NPC1,0.4533333333333333
LDLRAP1,0.4533333333333333
ERLIN2,0.4533333333333333
CYP2C9,0.44
CEBPA,0.43666666666666665
STAR,0.43666666666666665
APOB,0.42
CLN8,0.4166666666666667
CH25H,0.41333333333333333
MSMO1,0.41
TSKU,0.4066666666666667
ABCA5,0.4033333333333333
INSIG1,0.4
IDI1,0.38666666666666666
INSIG2,0.38666666666666666
LCAT,0.38666666666666666
CETP,0.38333333333333336
LIPA,0.38
CUBN,0.38
ACAA2,0.36
MBTPS2,0.3566666666666667
SC5D,0.3566666666666667
OSBPL5,0.35333333333333333
SQLE,0.3466666666666667
APOC1,0.3433333333333333
CYB5R3,0.33666666666666667
LIPE,0.3233333333333333
SREBF2,0.31333333333333335
CYP11B2,0.31
MVK,0.31
LEPR,0.31
NR0B2,0.3
PIP4P1,0.2833333333333333
HMGCS1,0.25666666666666665
APOA2,0.21666666666666667
APOE,0.21
MVD,0.16
SULT2A1,0.14666666666666667
