feature,kruskal_P,median_C1,median_C2,median_C3,median_C4
TIDE,0.39892609567691517,-1.2406790965552992,-1.2810658340564474,-1.2901265522317695,-1.2857090084732365
IFNG,0.5664787989247968,4.886600196361542,4.927598774433136,4.834362414975961,5.047035561253626
Dysfunction,0.35833815361621835,-1.2406790965552992,-1.2810658340564474,-1.2915428381499416,-1.2857090084732365
Exclusion,0.951669147590646,1.896076956950808,1.9080421495559725,1.9019348474931168,1.8998095721514585
MDSC,0.3772495507229464,0.09565086648678545,0.09214528308168304,0.09518686931106873,0.09494705053470716
CAF,0.14450422534965165,0.18590167517014297,0.19435115943266795,0.18737702391687575,0.19131573525901635
TAM M2,0.8635724183390794,-0.016160485731068742,-0.01607571124846867,-0.014944452063199635,-0.01634081168971266
CD274,0.7074982247319543,2.221320629119873,2.2713316679000854,2.198063373565674,2.227921962738037
CD8,0.6711636858963964,2.339300900697708,2.3710276186466217,2.410093903541565,2.2813203930854797
CTL,0.6942664384841919,1.9854576587677002,2.103945732116699,2.120241641998291,2.052145481109619
